2019-04-05,Flyers,17,51%,Roughnecks,19,68%
2019-04-06,Flyers,22,81%,Sol,18,58%
2019-04-06,Spiders,28,69%,Cascades,27,61%
2019-04-06,Aviators,18,60%,Growlers,20,75%
2019-04-06,Hustle,17,67%,Cannons,18,67%
2019-04-12,Spiders,18,60%,Aviators,22,67%
2019-04-13,Breeze,18,55%,Empire,21,55%
2019-04-13,Roughnecks,17,56%,Sol,19,51%
2019-04-13,Spiders,24,65%,Growlers,25,71%
2019-04-13,Flyers,24,72%,Hustle,21,62%
2019-04-14,Radicals,22,77%,AlleyCats,20,64%
2019-04-20,Phoenix,18,62%,Breeze,20,67%
2019-04-20,Thunderbirds,17,60%,Radicals,26,100%
2019-04-20,Aviators,24,63%,Cascades,20,56%
2019-04-20,Union,26,65%,Wind Chill,25,63%
2019-04-20,Mechanix,22,63%,AlleyCats,26,67%
2019-04-20,Growlers,21,67%,Spiders,16,43%
2019-04-20,Sol,17,62%,Roughnecks,21,72%
2019-04-20,Hustle,14,60%,Cannons,17,74%
2019-04-26,Cascades,18,58%,Growlers,20,70%
2019-04-27,Rush,19,53%,Outlaws,13,34%
2019-04-27,AlleyCats,19,80%,Mechanix,16,71%
2019-04-27,Thunderbirds,22,68%,Wind Chill,25,69%
2019-04-27,Empire,25,89%,Phoenix,16,53%
2019-04-27,Flyers,21,74%,Hustle,15,51%
2019-04-27,Cascades,19,70%,Aviators,25,81%
2019-04-28,Royal,19,53%,Empire,23,77%
2019-05-04,Royal,16,59%,Rush,21,83%
2019-05-04,Sol,19,56%,Hustle,23,67%
2019-05-04,AlleyCats,19,72%,Thunderbirds,16,59%
2019-05-04,Wind Chill,17,55%,Union,23,75%
2019-05-04,Outlaws,15,56%,Breeze,24,89%
2019-05-04,Growlers,21,60%,Cascades,25,75%
2019-05-04,Aviators,25,79%,Spiders,16,50%
2019-05-05,Sol,18,55%,Flyers,23,71%
2019-05-05,Wind Chill,31,83%,Mechanix,22,54%
2019-05-05,Outlaws,16,46%,Phoenix,21,63%
2019-05-11,Outlaws,24,63%,Rush,25,64%
